排名, 消费金融公司, 2023, 2024, 同比
1, 蚂蚁, 2270, 3108, 37%
2, 招联, 1821, 1688, -7%
3, 兴业, 864, 819, -5%
4, 中银, 719, 784, 9%
5, 中邮, 592, 670, 13%
6, 网上, 666, 614, -8%
7, 宁银, 421, 590, 40%
8, 杭银, 490, 512, 4%
9, 南银, 453, 508, 12%
10, 平安, 373, 507, 35%
11, 苏银, 359, 496, 38%
12, 中原, 326, 393, 21%
13, 长银, 233, 298, 28%
14, 海尔, 255, 280, 10%
15, 长银五八, 253, 264, 4%
16, 哈银, 226, 263, 16%
17, 尚诚, 201, 233, 16%
18, 小米, 142, 194, 37%
19, 湖北, 121, 165, 36%
20, 锦程, 117, 145, 24%
21, 北银, 127, 135, 6%
22, 幸福, 109, 122, 12%
23, 建信, 18, 117, 550%
24, 普惠, 85, 108, 27%
25, 中信, 107, 107, 0%
26, 阳光, 98, 83, -15%
27, 盛银, 58, 73, 26%
28, 蒙商, 61, 69, 13%
29, 唯品, 47, 62, 32%
30, 金美信, 56, 53, -5%
31, 捷信, 7, 0, -100%
